Name,Description,Price,Category,Stock,Image URL,Primary Image URL,All Image URLs,Created By,Created At
Sunflower,"A beautiful sunflower, directly harvested from farms.",10,beauty,96,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758689218/ecommerce/products/nf7o5wms3mcg4ezymqnf.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758689218/ecommerce/products/nf7o5wms3mcg4ezymqnf.jpg;https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758689366/ecommerce/products/tjypfryue9wdyskismx1.jpg,admin,2025-09-24T04:47:29.008Z
Golden Ring,Sed est deserunt ame,90,beauty,6,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695204/ecommerce/products/product_1758695203675_bosr686vt.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695204/ecommerce/products/product_1758695203675_bosr686vt.jpg,admin,2025-09-23T09:21:16.928Z
Drunk Elephant C-Firma Vitamin C Day Serum,"Antioxidant serum with 15% L-ascorbic acid for bright, even skin tone.",78,beauty,24,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695201/ecommerce/products/product_1758695200631_97r17053u.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695201/ecommerce/products/product_1758695200631_97r17053u.jpg,admin,2025-09-23T03:45:41.022Z
Olaplex No.3 Hair Perfector,At-home hair treatment to rebuild broken hair bonds.,28,beauty,31,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695197/ecommerce/products/product_1758695196245_gsc2nbll0.png,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695197/ecommerce/products/product_1758695196245_gsc2nbll0.png,admin,2025-09-23T03:45:41.020Z
Fenty Beauty Pro Filt'r Soft Matte Longwear Foundation,Full-coverage foundation with 50 shades and 12-hour wear.,35,beauty,45,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695194/ecommerce/products/product_1758695193515_e35cpsh3n.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695194/ecommerce/products/product_1758695193515_e35cpsh3n.jpg,admin,2025-09-23T03:45:41.019Z
Glossier Milky Jelly Cleanser,Gentle daily face cleanser with rosewater and vitamin B5.,18,beauty,60,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695191/ecommerce/products/product_1758695191273_auyoee4u3.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695191/ecommerce/products/product_1758695191273_auyoee4u3.jpg,admin,2025-09-23T03:45:41.017Z
The Ordinary Niacinamide 10% + Zinc 1%,Serum for blemish-prone skin with niacinamide and zinc for pore refinement.,6.8,beauty,80,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695189/ecommerce/products/product_1758695188494_5zrxnpqkt.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695189/ecommerce/products/product_1758695188494_5zrxnpqkt.jpg,admin,2025-09-23T03:45:41.015Z
Dyson Supersonic Hair Dryer,High-speed hair dryer with intelligent heat control and magnetic attachments.,399.99,beauty,18,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695186/ecommerce/products/product_1758695185887_xw5a9r2oi.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695186/ecommerce/products/product_1758695185887_xw5a9r2oi.jpg,admin,2025-09-23T03:45:41.012Z
Patagonia Black Hole Duffel Bag,Durable 60L duffel bag made from recycled materials with weather-resistant coating.,129,sports,30,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695184/ecommerce/products/product_1758695183449_lebybae97.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695184/ecommerce/products/product_1758695183449_lebybae97.jpg,admin,2025-09-23T03:45:41.004Z
Hydro Flask 32oz Water Bottle,Insulated stainless steel water bottle that keeps drinks cold for 24 hours.,44.95,sports,49,,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695181/ecommerce/products/product_1758695180254_u2h80s2gx.jpg,https://res.cloudinary.com/dvdq0rw3m/image/upload/v1758695181/ecommerce/products/product_1758695180254_u2h80s2gx.jpg,admin,2025-09-23T03:45:41.002Z
